ID,sequence,timestamp
673732,"Created, Ready, Reserved, Ready, Reserved, InProgress, Completed","2021-08-13 21:43:00, 2021-08-13 21:49:03, 2021-09-01 09:06:51, 2021-09-10 11:54:49, 2021-09-13 07:55:04, 2021-09-15 11:05:51, 2022-03-18 08:30:04"
952148,"Created, Ready, Reserved, InProgress, Completed","2020-03-31 12:46:00, 2020-03-31 12:46:43, 2020-04-09 10:22:36, 2020-04-10 10:35:29, 2020-10-13 08:51:40"
660358,"Created, Ready, Reserved, InProgress, Completed","2021-07-05 20:17:00, 2021-07-05 20:17:29, 2021-07-21 12:59:44, 2021-09-15 11:10:41, 2022-03-21 15:36:35"
416042,"Created, Ready, Reserved, InProgress, Completed","2021-02-05 08:39:00, 2021-02-05 08:39:16, 2021-02-17 07:11:51, 2021-03-17 09:56:36, 2021-08-25 06:41:13"
526654,"Created, Ready, Reserved, InProgress, Completed","2021-05-04 15:20:00, 2021-05-04 15:25:53, 2021-05-13 09:51:42, 2021-08-23 18:31:49, 2022-02-24 06:14:25"
158757,"Created, Ready, Reserved, InProgress, Completed","2020-09-28 19:51:00, 2020-09-28 19:51:29, 2020-10-08 09:37:17, 2020-10-31 09:00:55, 2021-05-05 17:54:42"
816535,"Created, Ready, Reserved, InProgress, Completed","2021-12-27 03:45:00, 2021-12-27 03:46:02, 2022-01-07 15:21:55, 2022-01-07 16:00:23, 2022-04-01 14:03:47"
956342,"Created, Ready, Reserved, InProgress, Completed","2020-02-12 16:43:00, 2020-02-12 16:44:24, 2020-02-26 18:01:01, 2020-03-03 14:54:37, 2020-09-09 15:26:51"
282792,"Created, Ready, Reserved, InProgress, Completed","2021-03-02 13:13:00, 2021-03-02 13:14:13, 2021-03-09 13:42:29, 2021-03-09 14:07:13, 2021-04-15 05:53:32"
35427,"Created, Ready, Reserved, InProgress, Completed","2020-04-08 09:12:00, 2020-04-08 09:22:05, 2020-04-25 10:59:51, 2020-04-25 11:01:01, 2020-10-20 00:00:00"
552477,"Created, Ready, Reserved, InProgress, Completed","2021-06-30 12:47:00, 2021-06-30 12:47:58, 2021-07-12 12:32:38, 2021-07-23 10:27:35, 2021-11-15 13:29:44"
555148,"Created, Ready, Reserved, InProgress, Completed","2021-09-01 09:49:00, 2021-09-01 09:49:39, 2021-09-07 10:25:00, 2021-09-07 12:55:55, 2021-11-15 09:39:32"
156011,"Created, Ready, Reserved, InProgress, Completed","2020-09-09 10:54:00, 2020-09-09 10:55:21, 2020-09-23 11:13:01, 2020-09-23 11:43:17, 2021-03-18 13:37:01"
296811,"Created, Ready, Reserved, InProgress, Completed","2021-01-24 16:45:00, 2021-01-24 16:45:10, 2021-02-01 13:24:16, 2021-02-01 14:13:34, 2021-04-20 14:11:25"
948855,"Created, Ready, Reserved, InProgress, Completed","2020-02-05 10:22:00, 2020-02-05 10:22:59, 2020-02-24 08:52:00, 2020-02-26 13:58:12, 2020-08-26 09:54:51"
